,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,3.7526925316,0.2009403634,3.0879415366000003,0.1207369959,9.1983121368,0.0895317069,16.038946205,0.4112090662
1,NU-100_EQeq,1e-05,0.03,0.193998,0.775992,0.5146136895000001,0.033270171099999996,3.7570789779,0.1532936289,3.0930882476,0.0604924441,9.182337349800001,0.2426254048,16.5471182648,0.4896816489
2,NU-100_EQeq,5e-05,0.03,0.19399,0.77596,2.5598692663,0.1374655641,3.6395807032,0.09329416609999999,3.0590604062,0.0719718006,9.1612610574,0.1227279268,18.4197714331,0.4254594576
3,NU-100_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,4.8800691901999995,0.23276283879999998,3.6069455427999997,0.0899867504,3.000319845,0.061174805199999994,9.1200394043,0.1516237445,20.6073739823,0.5355481389
4,NU-100_EQeq,0.0005,0.03,0.1939,0.7756000000000001,19.964957946400002,0.7745758312000001,3.3800200545999997,0.09096293400000001,2.9405584485,0.0349589496,8.7107646169,0.1169466906,34.9963010664,1.0174444054
5,NU-100_EQeq,0.001,0.03,0.1938,0.7752,33.7193538024,1.1996300362,3.1612825995,0.16407643189999999,2.8316268213,0.07816808809999999,8.437629272999999,0.0533361408,48.149892496199996,1.4952106969999999
6,NU-100_EQeq,0.005,0.03,0.193,0.772,81.5456219429,2.4886957903,2.5268270078999997,0.0561262825,2.5289491721,0.0184924178,7.663131383600001,0.08513699640000001,94.2645295065,2.648451487
7,NU-100_EQeq,0.01,0.03,0.192,0.768,110.9309358396,1.5061103462,2.3380928454,0.0432584168,2.4335436118000002,0.06206269230000001,7.3210326236,0.09376695460000001,123.0236049204,1.7051984099000002
8,NU-100_EQeq,0.02,0.03,0.19,0.76,157.4694733393,1.8781122384,2.200182974,0.0655454008,2.3053437194,0.0451994265,6.9909987377,0.13852975539999998,168.9659987704,2.1273868211
9,NU-100_EQeq,0.03,0.03,0.188,0.752,0.0,0.0,,,,,,,,
10,NU-100_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,0.0,0.0,,,,,,,,
11,NU-100_EQeq,0.05,0.03,0.184,0.736,0.0,0.0,,,,,,,,
