,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,IRMOF-1_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,2.9757099303,0.1332212717,1.8591990427,0.0638467697,5.7463224397,0.1568509252,10.5812314127,0.35391896659999994
1,IRMOF-1_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.3926319721,0.1374717814,3.0249955725,0.1490785858,1.8038750142,0.0889045268,5.7269944587,0.1107956107,10.9484970175,0.4862505047
2,IRMOF-1_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,1.9150824763,0.5869478448,2.9642813756,0.0745392929,1.8085502841999999,0.06250121730000001,5.7990764584,0.1574707539,12.4869905945,0.8814591089
3,IRMOF-1_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,4.1044888514,0.9960201415000001,3.0192812951,0.15732758300000002,1.8012776419999998,0.067130893,5.733361323,0.0888665398,14.658409111500001,1.3093451573000001
4,IRMOF-1_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,19.5788077528,1.9410855319999998,3.0407098352,0.169157329,1.8062126492,0.0587580483,5.7852057897,0.1188489075,30.2109360269,2.2878498168
5,IRMOF-1_v2_EQeq,0.001,0.04,0.1918,0.7672,31.821572271399997,4.0554525577,3.0535669592000003,0.1498125891,1.8036152769999998,0.11213190140000001,5.7354078151,0.06176588400000001,42.4141623227,4.3791629322
6,IRMOF-1_v2_EQeq,0.005,0.04,0.191,0.764,139.1241666123,9.4491259147,3.2842809073000003,0.1462174041,1.8106281819999999,0.07402100730000001,5.6592328313,0.07963906,149.8783085329,9.7490033861
7,IRMOF-1_v2_EQeq,0.01,0.04,0.19,0.76,298.2108173583,19.8442829952,3.4032093046,0.1573762194,1.6350458192,0.046810384000000003,4.9024855289,0.1881585989,308.15155801099996,20.2366281975
8,IRMOF-1_v2_EQeq,0.02,0.04,0.188,0.752,685.6320494441001,23.956273786399997,3.5617805011000003,0.36724652939999997,0.8275227927,0.0598501296,1.9391649624,0.1378098921,691.9605177003,24.5211803375
9,IRMOF-1_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,743.8165254764,13.421535517799999,3.1132097291000003,0.3817288572,0.6127201092,0.0514620658,1.2556365997,0.0691887579,748.7980919144001,13.9239151987
10,IRMOF-1_v2_EQeq,0.04,0.04,0.184,0.736,769.3555148469001,8.0895660973,2.6685675227,0.3335380541,0.5020720522,0.036937519,0.9773136736,0.07694455509999999,773.5034680954,8.5369862255
11,IRMOF-1_v2_EQeq,0.05,0.04,0.182,0.728,782.3147266614999,15.0059840195,2.5774962275,0.3405467802,0.468046476,0.0349093012,0.8122299772,0.08559701480000001,786.1724993422,15.4670371157
