MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.01,0.198,0.792,0.0000000000,0.0000000000,10.0557191086,0.5311514593,3.9823469891,0.1516513758,10.7373984256,0.3616008930,24.7754645233,1.0444037281
HKUST-1_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0000000000,0.0000000000,10.2600749980,0.4202737837,3.9962337070,0.1734519838,10.6339176347,0.4439760934,24.8902263397,1.0377018609
HKUST-1_v2_EQeq,0.04,0.01,0.19,0.76,0.8769370253,0.0507123626,9.8397701710,0.2565519744,3.9112602190,0.1700042166,10.3113180783,0.4046015335,24.9392854936,.8818700871
HKUST-1_v2_EQeq,0.05,0.01,0.188,0.752,1.0969452317,0.0530538241,10.0411709697,0.4336711179,3.8702613376,0.0773886359,10.3017660053,0.2782731949,25.3101435443,.8423867728
HKUST-1_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0006191601,0.0010110841,10.0220765373,0.3989651594,4.1210488499,0.1639855261,10.7308856486,0.1895378233,24.8746301959,.7534995929
HKUST-1_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0022702535,0.0027380288,10.2693948995,0.3936670101,4.0636834796,0.1303536913,10.7858824325,0.2472797756,25.1212310651,.7740385058
HKUST-1_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.0117640411,0.0072205850,10.1782417164,0.3611067951,4.0266522319,0.1646873356,10.7261096121,0.4877853963,24.9427676015,1.0208001120
HKUST-1_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0243536289,0.0111219255,9.9602469468,0.1534170276,4.0653366603,0.2445487353,10.8275642056,0.3438468508,24.8775014416,.7529345392
HKUST-1_v2_EQeq,0.005,0.01,0.19699999999999998,0.7879999999999999,0.1184659573,0.0160079452,10.2227953920,0.3977463751,4.0826950576,0.2446425933,10.6402856834,0.3428070000,25.0642420903,1.0012039136
HKUST-1_v2_EQeq,0.01,0.01,0.196,0.784,0.2206273665,0.0286394527,10.0970903788,0.4124653365,4.0188822826,0.1904073792,10.6039588603,0.5194128718,24.9405588882,1.1509250402
HKUST-1_v2_EQeq,0.02,0.01,0.19399999999999998,0.7759999999999999,0.4406355729,0.0301352831,10.1505093265,0.4357412951,4.0195435549,0.1983745201,10.5074250316,0.4854944909,25.1181134859,1.1497455892
HKUST-1_v2_EQeq,0.03,0.01,0.192,0.768,0.6402114974,0.0490245495,10.2341611255,0.3042846109,3.9691215435,0.1718430247,10.3574864312,0.1115704680,25.2009805976,.6367226531
