MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.02,0.196,0.784,0.0000000000,0.0000000000,5.2778484253,0.1620802763,3.5443253023,0.0704560647,10.5911481975,0.2476463904,19.4133219251,.4801827314
NU-125_v2_EQeq,1e-05,0.02,0.195998,0.783992,0.0000524293,0.0002097170,5.1554789557,0.0651160772,3.5885613935,0.1619020230,10.5591964088,0.1460953765,19.3032891873,.3733231937
NU-125_v2_EQeq,0.04,0.02,0.188,0.752,1.0315979356,0.0343119705,5.1008368894,0.1301502033,3.3997998223,0.1379751379,10.1340270490,0.2261024827,19.6662616963,.5285397944
NU-125_v2_EQeq,0.05,0.02,0.18600000000000003,0.7440000000000001,1.2597176052,0.0498950202,5.1408118748,0.1221068592,3.4054469829,0.1220327669,9.9728948195,0.2084159037,19.7788712824,.5024505500
NU-125_v2_EQeq,5e-05,0.02,0.19599,0.78396,0.0017301653,0.0005346755,5.2902147876,0.3489556176,3.5156711912,0.0336250581,10.5161667794,0.1690504649,19.3237829235,.5521658161
NU-125_v2_EQeq,0.0001,0.02,0.19598,0.78392,0.0022544578,0.0012670101,5.1963167105,0.1403797776,3.5279067058,0.0766828629,10.5652388674,0.2012216019,19.2917167415,.4195512525
NU-125_v2_EQeq,0.0005,0.02,0.1959,0.7836000000000001,0.0124257324,0.0021642551,5.2407493381,0.1867461363,3.5490312694,0.1311257736,10.5954511605,0.4623515644,19.3976575004,.7823877294
NU-125_v2_EQeq,0.001,0.02,0.1958,0.7832,0.0257427621,0.0049115883,5.1859634769,0.2604744700,3.5029127914,0.0729866884,10.4810106566,0.1570420229,19.1956296870,.4954147696
NU-125_v2_EQeq,0.005,0.02,0.195,0.78,0.1226320173,0.0073804297,5.1819372194,0.1700640963,3.5470443055,0.1041255552,10.4875108772,0.0713935008,19.3391244194,.3529635820
NU-125_v2_EQeq,0.01,0.02,0.19399999999999998,0.7759999999999999,0.2548585874,0.0108283856,5.2073889187,0.2871961303,3.4941283194,0.0956605075,10.5101243208,0.2538148337,19.4665001463,.6474998571
NU-125_v2_EQeq,0.02,0.02,0.192,0.768,0.5014333531,0.0108891401,5.2048006103,0.2017425695,3.4789646475,0.1570865616,10.3596121701,0.1287436442,19.5448107810,.4984619154
NU-125_v2_EQeq,0.03,0.02,0.19,0.76,0.7644709036,0.0287002143,5.2119903559,0.0840254586,3.4165321500,0.0816156694,10.3279350387,0.3280405262,19.7209284482,.5223818685
