,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,7.8273183077,0.5868140817,2.9142716369999997,0.0934679972,9.9030670539,0.2320351146,20.6446569986,0.9123171935
1,MgMOF-74_EQeq,1e-05,0.01,0.197998,0.791992,0.0502633046,0.0056692679,8.0324572319,0.34773764520000006,2.9058942676,0.0246464125,9.8572996743,0.3519421392,20.845914478399997,0.7299954648
2,MgMOF-74_EQeq,5e-05,0.01,0.19799,0.79196,0.2627920519,0.034638428,8.152305195,0.4630166463,2.8930306568,0.0684325447,9.9332045929,0.3260983805,21.241332496600002,0.8921859995
3,MgMOF-74_EQeq,0.0001,0.01,0.19798,0.79192,0.5030228726,0.0377594181,7.9215475098,0.4386542058,2.8604367389,0.059409159,9.9570100425,0.24147475219999998,21.2420171638,0.7772975351000001
4,MgMOF-74_EQeq,0.0005,0.01,0.1979,0.7916000000000001,2.4235781362999997,0.3826894061,8.1748396335,0.3513263721,2.8753603586,0.089283435,9.8664371196,0.1352519133,23.340215248000003,0.9585511265000001
5,MgMOF-74_EQeq,0.001,0.01,0.1978,0.7912,4.7873178451,0.9561452784000001,8.1007529462,0.5275944647,2.9012249142,0.0494837672,9.8916452473,0.12369729019999999,25.6809409528,1.6569208005
6,MgMOF-74_EQeq,0.005,0.01,0.197,0.7879999999999999,18.2738663716,0.7421417235,8.048256517,0.4211230605,2.8413015456,0.028771884900000003,9.6560754947,0.165878122,38.8194999289,1.3579147909
7,MgMOF-74_EQeq,0.01,0.01,0.196,0.784,28.7860357311,1.2674240937999999,7.8217791162,0.1585686416,2.7943333437,0.0365896337,9.4615841695,0.1039120266,48.8637323605,1.5664943957
8,MgMOF-74_EQeq,0.02,0.01,0.194,0.7759999999999999,43.981244242799995,1.0987821795000001,7.6257043236,0.1665252033,2.6987031549,0.0173464096,9.0483552279,0.1268482401,63.3540069492,1.4095020325
9,MgMOF-74_EQeq,0.03,0.01,0.192,0.768,53.6491703805,1.4288797030000002,7.379336189400001,0.2419403432,2.5723559452,0.0695521566,8.7735505676,0.0999380033,72.3744130827,1.8403102061
10,MgMOF-74_EQeq,0.04,0.01,0.19,0.76,365.6975796250,25.9698506326,0.3837149070,0.4482626048,0.0065920283,0.0099892534,0.0564277325,0.0625448421,366.1443142928,26.4906473329
11,MgMOF-74_EQeq,0.05,0.01,0.188,0.752,381.0442846116,31.8063436764,0.3721329610,0.7222531168,0.0036622380,0.0089706143,0.0618781385,0.1718504870,381.4819579491,32.7094178945
