,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,2.623681952,0.1228227415,3.6452421534,0.1138970323,10.7035745485,0.274152964,16.9724986539,0.5108727378
1,NU-125_v2_EQeq,1e-05,0.01,0.197998,0.791992,0.0001669755,0.0002726699,2.5965047138,0.09895597630000001,3.6000648688,0.11333373199999999,10.754203027400001,0.2575686567,16.9509395855,0.4701310349
2,NU-125_v2_EQeq,5e-05,0.01,0.19799,0.79196,0.0016140969,0.0008180097999999999,2.6485584717,0.10839275289999999,3.5837508493,0.1678367462,10.7316811362,0.2739424145,16.9656045541,0.5509899234000001
3,NU-125_v2_EQeq,0.0001,0.01,0.19798,0.79192,0.0037847790000000003,0.0009704394,2.6537350885,0.19025322079999998,3.5936856688,0.1222208202,10.6762919324,0.21653132379999998,16.9274974687,0.5299758042
4,NU-125_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,0.024601063599999997,0.0075957051,2.6310154925,0.0894242507,3.6450329993,0.12549942890000002,10.6353680082,0.2990761284,16.9360175636,0.5215955131000001
5,NU-125_v2_EQeq,0.001,0.01,0.1978,0.7912,0.0421891543,0.0095667905,2.6330286213,0.1159896497,3.5788357281,0.1457259303,10.628501578,0.2427113432,16.8825550817,0.5139937137
6,NU-125_v2_EQeq,0.005,0.01,0.197,0.7879999999999999,0.2380514682,0.026847027599999997,2.6034068694999997,0.10604618800000001,3.5366911778,0.1704322278,10.6664958252,0.4005300341,17.0446453407,0.7038554775
7,NU-125_v2_EQeq,0.01,0.01,0.196,0.784,0.48545356689999997,0.0749326516,2.600962356,0.1233341285,3.5714107577,0.1184270309,10.5428085287,0.2179788697,17.2006352093,0.5346726807
8,NU-125_v2_EQeq,0.02,0.01,0.194,0.7759999999999999,0.9751371809,0.1687887022,2.6231067724,0.1652042708,3.5399330663,0.0603800017,10.5016099473,0.2608529603,17.6397869669,0.655225935
9,NU-125_v2_EQeq,0.03,0.01,0.192,0.768,1.3541160088,0.0943961849,2.6433818549,0.09213921929999999,3.4489510348000003,0.0748467801,10.3050469379,0.1296640624,17.7514958364,0.39104624670000004
10,NU-125_v2_EQeq,0.04,0.01,0.19,0.76,1.9954134174,0.2483673279,2.6570423715,0.0924081191,3.4206106548000004,0.0762348746,10.385979262200001,0.0898419736,18.4590457059,0.5068522952000001
11,NU-125_v2_EQeq,0.05,0.01,0.188,0.752,2.4768039127,0.2268055457,2.6686897593,0.1723966061,3.4045057895,0.0630036573,10.1478514618,0.18685179329999999,18.6978509233,0.6490576024
