MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,28.4668435856,1.8157997240,3.1450109644,0.1331581383,8.6175618608,0.6053042590,40.2294164108,2.5542621213
HKUST-1_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0753600545,0.0220649312,28.6305101488,1.8899556928,3.1177334828,0.1307138105,8.7100432949,0.3528032621,40.5336469810,2.3955376966
HKUST-1_v2_EQeq,0.04,0.04,0.184,0.736,66.6961132629,1.6006753110,9.5317587916,1.0363840017,1.9530676794,0.1282868223,5.7914508074,0.1013115192,83.9723905413,2.8666576542
HKUST-1_v2_EQeq,0.05,0.04,0.182,0.728,75.2971957425,1.7936252918,9.1760113312,0.6721746716,1.8976861259,0.0718584235,5.5671218202,0.1663265982,91.9380150198,2.7039849851
HKUST-1_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.3563755847,0.0268743589,28.5434486297,1.3006440949,3.1588976822,0.0797073150,8.4634261374,0.1963502772,40.5221480340,1.6035760460
HKUST-1_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.7418035269,0.0813351666,28.2133877272,1.0887337208,3.1585670461,0.0809579316,8.5596705093,0.3328886112,40.6734288095,1.5839154302
HKUST-1_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,3.5436833095,0.3781298427,26.4546541163,1.2286986914,3.0845045507,0.0603861449,8.4187050683,0.2432769968,41.5015470448,1.9104916758
HKUST-1_v2_EQeq,0.001,0.04,0.1918,0.7672,6.6058017848,0.1808919112,24.4226882707,1.1118889818,2.9406778298,0.1549431650,8.1700617135,0.1612650858,42.1392295988,1.6089891438
HKUST-1_v2_EQeq,0.005,0.04,0.191,0.764,20.5525180355,1.2689112534,17.6964471508,1.2113231765,2.5377976931,0.0465058272,7.1743304671,0.1620658021,47.9610933465,2.6888060592
HKUST-1_v2_EQeq,0.01,0.04,0.19,0.76,29.9461136114,0.5553765002,14.4519848491,1.5147118529,2.2951107663,0.0959050007,6.7043974210,0.2977346637,53.3976066478,2.4637280175
HKUST-1_v2_EQeq,0.02,0.04,0.188,0.752,43.8127157854,2.1487336275,11.9467498581,0.8307614525,2.1400424166,0.0894613661,6.3356295118,0.1031270693,64.2351375719,3.1720835154
HKUST-1_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,55.1859213905,1.5570364072,10.7751700429,1.1466979556,2.0469683432,0.0539413382,5.9529676781,0.2645729771,73.9610274547,3.0222486781
