,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.01,0.198,0.792,0.0,0.0,2.6228191826,0.0959662719,3.6568502057,0.13963851730000001,10.7242653916,0.2724502301,17.0039347799,0.5080550193
1,NU-125_v2_EQeq,1e-05,0.01,0.197998,0.791992,1.0547787865,0.0463397193,2.5919032766,0.1158133893,3.5702604101,0.0635222716,10.6794047141,0.3060029201,17.8963471873,0.5316783003
2,NU-125_v2_EQeq,5e-05,0.01,0.19799,0.79196,5.2429603337,0.43345193090000006,2.5930536359,0.14144508349999999,3.5297890926999997,0.046705566,10.6225506718,0.1362644266,21.9883537341,0.757867007
3,NU-125_v2_EQeq,0.0001,0.01,0.19798,0.79192,10.0224860152,0.2884695426,2.4941227369,0.1115463016,3.5211091977,0.0897487998,10.584647976900001,0.2652717885,26.622365926700002,0.7550364325
4,NU-125_v2_EQeq,0.0005,0.01,0.1979,0.7916000000000001,45.3805383413,1.687984529,2.3014375556999997,0.16101177960000002,3.2928175025,0.09661832640000001,9.6705887846,0.3871072921,60.6453821841,2.3327219271
5,NU-125_v2_EQeq,0.001,0.01,0.1978,0.7912,95.45216643129999,15.0518827172,2.137223767,0.06607434849999999,3.0352442339,0.0589258026,9.041074461000001,0.2517585215,109.66570889319999,15.428641389800001
6,NU-125_v2_EQeq,0.005,0.01,0.197,0.7879999999999999,495.6035073686,11.2005802477,1.6569487632,0.1386994165,1.7153773142,0.0610163834,4.3979027866000004,0.130500685,503.37373623260004,11.5307967326
7,NU-125_v2_EQeq,0.01,0.01,0.196,0.784,617.640539994,9.5406140167,1.2564799352,0.1809111433,1.1711583577,0.0606200592,2.8983659766,0.17077564010000001,622.9665442634999,9.952920859299999
8,NU-125_v2_EQeq,0.02,0.01,0.194,0.7759999999999999,731.56499911,9.9024367785,0.9865768866,0.14077925730000002,0.8056615759,0.0459254008,1.7389463440000001,0.08646425320000001,735.0961839165,10.1756056898
9,NU-125_v2_EQeq,0.03,0.01,0.192,0.768,798.1071554658,8.5180368904,0.8279710994,0.1093469302,0.5769515724000001,0.1358545611,1.1255452434,0.15759399970000001,800.637623381,8.9208323814
10,NU-125_v2_EQeq,0.04,0.01,0.19,0.76,830.8912666833,6.0552033784,0.760531286,0.077528797,0.46317174450000004,0.0638362148,0.819943322,0.0705450327,832.9349130358,6.2671134229
11,NU-125_v2_EQeq,0.05,0.01,0.188,0.752,851.2617057197,13.0964489158,0.5953109329,0.11967330960000001,0.3806604538,0.0466699608,0.6529517387,0.1010741847,852.8906288451,13.363866370899999
